"Provider Name"," Number of Certified Beds"
"A HOLLY PATTERSON EXTENDED CARE FACILITY",589
"BRIGHTON REHABILITATION AND WELLNESS CENTER",589
"COLD SPRING HILLS CENTER FOR NURSING AND REHAB",606
"CEDARBROOK SENIOR CARE AND REHABILITATION",670
"TERENCE CARDINAL COOKE HEALTH CARE CENTER",679
"NORTHAMPTON COUNTY-GRACEDALE",688
"IOWA VETERANS HOME",702
"ISABELLA GERIATRIC CENTER INC",705
"KINGS HARBOR MULTICARE CENTER",720
"LAGUNA HONDA HOSPITAL & REHABILITATION CTR D/P SNF",769
"COLER REHABILITATION AND NURSING CARE CENTER",815
"THE PLAZA REHAB AND NURSING CENTER",816
"HEBREW HOME FOR THE AGED AT RIVERDALE",843
"FAIR ACRES GERIATRIC CENTER",874
