"Provider Name"," Number of Certified Beds"
"EDENBROOK LAKESIDE",1
"THE FOREST AT DUKE INC",4
"ARBOR ACRES UNITED METHODIST RETIREMENT COMMUNITY",6
"COLUSA MEDICAL CENTER - SNF",6
"CYPRESS GLEN RETIREMENT COMMUNITY",6
"FLUSHING HOSPITAL MEDICAL CENTER T C U",6
"OAK CREST",6
"TERREBONNE GENERAL MED CTR SNF",6
"WILLAMETTE VIEW HEALTH CENTER",6
"JAMAICA HOSPITAL MEDICAL CENTER T C U",7
"CATALINA ISLAND MEDICAL CENTER D/P SNF",8
"MARYLAND GARDENS CARE CENTER",8
"MUSCOGEE (CREEK) NATION SKILLED NURSING FACILITY",8
"THE GARDENS OF TAYLOR GLEN RET COM",8
"WYTHE CNTY COMMUNITY HOSP ECU",8
"CORDOVA COMMUNITY MED LTC",10
"GARRETT COUNTY SUBACUTE UNIT",10
"HARMON HOSPITAL - SNF",10
"LANAI COMMUNITY HOSPITAL",10
"NORTHEAST LA WAR VETERANS HOME",10
"PROVIDENCE VALDEZ MEDICAL CENTER",10
"SAGE SPECIALTY HOSPITAL",10
"ST CLAIRE MEDICAL CENTER",10
"TRANSYLVANIA REGIONAL HOSPITAL",10
"UNION COUNTY HOSPITAL L T C",10
"WICHITA COUNTY HEALTH CENTER LTCU",10
"WILKES REGIONAL MEDICAL CTR SN",10
"LOGAN REGIONAL HOSPITAL TRANSITIONAL CARE UNIT",11
"COLUMBIA BASIN HOSPITAL",12
"FLAGET MEMORIAL HOSPITAL NF",12
"GENESYS SHORT-TERM REHABILITATION CENTER",12
"GREENWOOD TRANSITIONAL REHABILITATION UNIT",12
"KENDAL AT OBERLIN",12
"LAKE CUMBERLAND REGIONAL HOSPITAL SCU",12
"NEURORESTORATIVE TEXAS",12
"NEWPORT SUBACUTE HEALTHCARE CENTER",12
"NORTHERN WESTCHESTER HOSPITAL T C U",12
"NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER-SNU",12
"OSF SAINT JOSEPH MEDICAL CENTER",12
"RECOVERY INN, AN EDURO HEALTHCARE COMMUNITY (THE)",12
"SKILLED CARING CENTER OF MEMORIAL HOSPITAL",12
"THE CEDARS OF CHAPEL HILL",12
"THE LUTHERAN VILLAGE AT MILLER'S GRANT",12
"THE VILLAGE AT NORTHRISE - DESERT WILLOW I",12
"GREATER EL MONTE COMMUNITY HOS",13
"TRINITY HOSPITAL SKILLED NURSING FACILITY",13
"ALL SAINT'S MAUBERT",14
"BROOKDALE CARRIAGE CLUB PROVIDENCE",14
"MEADOWS ON FAIRVIEW",14
"ST LOUIS ALTENHEIM",14
"THE MEDICAL RESORT AT PEARLAND",14
"WRANGELL MEDICAL CENTER LTC",14
"ATRIUM HEALTH NAVICENT BALDWIN",15
"BAPTIST HEALTH HARDIN",15
"HOBOKEN UNIVERSITY MEDICAL CENTER TCU",15
"PASSAVANT AREA HOSPITAL",15
"PETERSBURG MEDICAL CENTER LTC",15
"SEARHC SITKA LONG TERM CARE",15
"THE CARDINAL AT NORTH HILLS",15
"TRANSITIONAL CARE UNIT",15
"WILLOWBROOKE COURT SC CTR AT MATTHEWS GLEN",15
"ADVANCED HEALTH CARE OF SALEM",16
"GIBSON COMMUNITY HSP ANNEX",16
"GROVER C DILS MEDICAL CENTER SNF",16
"HOPE CARE CENTER",16
"JOHN C. FREMONT HEALTHCARE DISTRICT DP/SNF",16
"JOHN T MATHER MEMORIAL HOSP T C U",16
"LAKE REGIONAL HEALTH SYSTEMS",16
"MONTEFIORE NYACK HOSPITAL T C U",16
"NEW YORK-PRESBYTERIAN / QUEENS T C U",16
"REDLANDS COMM HOSP D/P SNF",16
"ROLLING MEADOWS",16
"SENECA DISTRICT HOSPITAL D/P SNF",16
"ST ELIZABETH FLORENCE SNF",16
"STRAWBERRY POINT LUTHERAN HOME",16
"T J SAMSON COMMUNITY HOSPITAL",16
"TERRACES AT PEACHTREE HILLS PLACE, THE",16
"THE ARBOR",16
"THE HSC PEDIATRIC SKILLED NURSING FACILITY",16
"UPMC NORTHWEST TRANSITIONAL CARE UNIT",16
"WAR MEMORIAL HOSPITAL",16
"WESLEY WOODS AT NEW ALBANY",16
"WILLOWBROOKE COURT-SPRING HOUS",16
"AUGUSTA MEDICAL CTR SKILLED CA",17
"HEALDSBURG HOSPITAL D/P SNF",17
"HILDEGARD HEALTH CENTER",17
"JEROLD PHELPS COMM HOSP SNF",17
"JUNIPER VILLAGE AT BUCKS COUNTY REHAB AND SKD CARE",17
"LAKES AT LITCHFIELD",17
